fichier;source;artiste_fichier;titre_fichier;resultat;score;artiste_discogs;titre_discogs;genre;style;annee;label;release_id
2018-05-21 - Steyoyoke\MP3 320\16. BLANCAh - Preludios de Uma Noite Sem Luz (Original Mix).mp3;tags;BLANCAh;Preludios de Uma Noite Sem Luz (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYK072\01. Soul Button - Reverie (Original Mix).mp3;tags;Soul Button;Reverie (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYK072\02. Soul Button - Indra (Original Mix).mp3;tags;Soul Button;Indra (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYK072\03. Soul Button - Elysium (Original Mix).mp3;tags;Soul Button;Elysium (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYK073\01. Subconscious - Andesite (Original Mix).mp3;tags;Subconscious;Andesite (Original Mix);MATCH;100.0;Subconscious (15);Andesite;Electronic;Progressive House;2018;Steyoyoke;15649418
2018-05-21 - Steyoyoke\SYYK073\02. Subconscious - Ad Infinitum (Original Mix).mp3;tags;Subconscious;Ad infinitum;MATCH;100.0;Subconscious (15);Ad Infinitum (Original Mix);Electronic;Progressive House;2018;Steyoyoke;15649418
2018-05-21 - Steyoyoke\SYYK074\03. Nick Devon - Symbiose (Clawz SG remix).mp3;tags;Nick Devon;Symbiose (Clawz SG Remix);NON;71.0;Nick Devon;Symbiose (Original Mix);;;;;
2018-05-21 - Steyoyoke\SYYK074\04. Clawz SG - Constellations (JOBE Remix).mp3;tags;Clawz SG;Constellations (JOBE Remix);NON;70.6;Clawz SG;Domuyo (Color Ray Remix);;;;;
2018-05-21 - Steyoyoke\SYYK078\01. Matchy, Lunar Plane - Brahman (Original Mix).mp3;tags;Matchy, Lunar Plane;Brahman (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYK078\02. Strinner - Continuum (Original Mix).mp3;tags;Strinner;Continuum (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYK078\03. Lost Soul - Landscapes (Original Mix).mp3;tags;Lost Soul;Landscapes (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYK078\04. K.A.L.I.L. - Shori (Original Mix).mp3;tags;K.A.L.I.L.;Shori (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYK079\01. Soul Button & Clawz SG - Implicit Bias (Original Mix).mp3;tags;Soul Button & Clawz SG;Implicit Bias (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYK079\02. JOBE & Soul Button - Umar (Original Mix).mp3;tags;JOBE & Soul Button;Umar (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYK079\03. Nick Devon & BLANCAh - Rasante (Extended Version).mp3;tags;Nick Devon & BLANCAh;Rasante (Extended Version);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYK079\04. Clawz SG & BLANCAh - Ravens (Extended Version).mp3;tags;Clawz SG & BLANCAh;Ravens (Extended Version);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKBLK034\01. Arude & Binaryh - Chronology (Original Mix).mp3;tags;Arude & Binaryh;Chronology (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKBLK035\01. Altego - Thousand Words (Arude Remix).mp3;tags;Altego;Thousand Words (Arude Remix);NON;53.3;Altégo;Toxic Pony;;;;;
2018-05-21 - Steyoyoke\SYYKBLK035\02. Never Lost - Minor (Arude Remix).mp3;tags;Never Lost;Minor (Arude Remix);NON;64.7;Never Lost;Anti Diesel Force;;;;;
2018-05-21 - Steyoyoke\SYYKBLK036\01. Clawz SG & Nick Devon - Hypersonic (Original Mix).mp3;tags;Clawz SG & Nick Devon;Hypersonic (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKBLK036\02. Binaryh & Arude - Altiorem (Original Mix).mp3;tags;Binaryh & Arude;Altiorem (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKBLK036\03. Nick Devon & Clawz SG - Erebus (Original Mix).mp3;tags;Nick Devon & Clawz SG;Erebus (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKBLK036\04. Mallone & BLANCAh - Mardi Gras (Original Mix).mp3;tags;Mallone & BLANCAh ;Mardi Gras (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKBLK037\01. Nick Devon - Innerverse (Original Mix).mp3;tags;Nick Devon;Innerverse (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKBLK037\02. Nick Devon - Sithian (Original Mix).mp3;tags;Nick Devon;Sithian (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKBLK037\03. Nick Devon - Eternity (Original Mix).mp3;tags;Nick Devon;Eternity (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKBLK037\04. Nick Devon - Eternity (Acid Mix).mp3;tags;Nick Devon;Eternity (Acid Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKET005\01. Modeplex - Pulsar (Original Mix).mp3;tags;Modeplex;Pulsar (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKET005\02. JOBE - Orcus (Soul Button Remix).mp3;tags;JOBE;Orcus (Soul Button Remix);MATCH;100.0;Jobe (10);Orcus (Soul Button Remix);Electronic;Deep House/Tech House/Progressive House;2018;Steyoyoke;14049990
2018-05-21 - Steyoyoke\SYYKET005\03. Clawz SG & Never Lost - Tenebris (Original Mix).mp3;tags;Clawz SG & Never Lost;Tenebris (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKET005\04. Sarcasmo - Epoca (Original Mix).mp3;tags;Sarcasmo;Epoca (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKET005\05. Justrice - Voyager (Original Mix).mp3;tags;Justrice;Voyager (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKET005\06. Soul Button - Indra (Nick Devon Remix).mp3;tags;Soul Button;Indra (Nick Devon Remix);NON;80.9;Soul Button;Tartribe (Nick Devon Remix);;;;;
2018-05-21 - Steyoyoke\SYYKET005\07. Simon Sizer - Aconit (Original Mix).mp3;tags;Simon Sizer;Aconit (Original Mix);MATCH;100.0;Simon Sizer;Aconit;Electronic;Techno/Deep House;2017;Steyoyoke;15686687
2018-05-21 - Steyoyoke\SYYKET005\09. Carlo Whale - 5st (Original Mix).mp3;tags;Carlo Whale;5st (Original Mix);NON;0.0;;;;;;;
