fichier;source;artiste_fichier;titre_fichier;resultat;score;artiste_discogs;titre_discogs;genre;style;annee;label;release_id
2020-07-06\Claap! - Merci (Original Mix).mp3;tags;Claap!;Merci (Original Mix);NON;0.0;;;;;;;
2020-07-06\Corine - Pluie Fine (Polo & Pan Remix).mp3;tags;Corine;Pluie Fine (Polo & Pan Remix);MATCH;100.0;Corine (5);Pluie Fine (Polo & Pan Remix);Electronic;House;2017;Kwaidan Records;10340365
2020-07-06\DJ Mehdi - Signatune (Thomas Bangalter Edit).mp3;tags;DJ Mehdi;Signatune (Thomas Bangalter Edit);MATCH;100.0;DJ Mehdi;Signatune (Thomas Bangalter Edit);Electronic;Techno/Electro;2007;Because Music;926894
2020-07-06\DJ Mehdi, Orchestre Lamoureux - Tragicomehdi - Signatune (Orchestral Version) (Original Mix).mp3;tags;DJ Mehdi, Orchestre Lamoureux;Tragicomehdi / Signatune (Orchestral Version) (Original Mix);MATCH;88.0;Orchestre Des Concerts Lamoureux;TragicoMehdi / Signatune (Orchestral Version);Classical;Classical/Contemporary/Modern;2018;Ed Banger Records;12835215
2020-07-06\Discotron - Disco Ballin' (Original Mix).mp3;tags;Discotron;Disco Ballin' (Original Mix);MATCH;100.0;Discotron (3);Disco Ballin';Electronic;Nu-Disco;2015;Tasty Recordings;9824838
2020-07-06\Discotron - Disco's Symphony (Original Mix).mp3;tags;Discotron;Disco's Symphony (Original Mix);MATCH;100.0;Discotron (3);Disco's Symphony;Electronic;Disco/Nu-Disco;2018;Tasty Recordings;12749455
2020-07-06\Discotron - Gettin' High Tonight (Original Mix).mp3;tags;Discotron;Gettin' High Tonight (Original Mix);NON;0.0;;;;;;;
2020-07-06\Discotron - La Muzique (Original Mix).mp3;tags;Discotron;La Muzique (Original Mix);NON;0.0;;;;;;;
2020-07-06\Discotron - Slicker Than Your Average (Original Mix).mp3;tags;Discotron;Slicker Than Your Average (Original Mix);NON;0.0;;;;;;;
2020-07-06\Discotron - Thought I Was A DJ (Original Mix).mp3;tags;Discotron;Thought I Was A DJ (Original Mix);NON;0.0;;;;;;;
2020-07-06\Discotron, HP Vince - Street Life (Original Mix).mp3;tags;HP Vince, Discotron;Street Life (Original Mix);NON;0.0;;;;;;;
2020-07-06\Dombrance - Poutou (Bon entendeur Remix).mp3;tags;Dombrance;Poutou (Bon entendeur Remix);MATCH;100.0;Dombrance;Poutou (Bon Entendeur Remix);Electronic;Electro/Disco/House;2020;E47 Records;15980125
2020-07-06\Fameache - Hentai (Original Mix).mp3;tags;Fameache;Hentai (Original Mix);MATCH;100.0;Fameache;Hentai;Electronic;House/Techno/Downtempo;2020;Moon Magic Records;30080815
2020-07-06\Jerge, You Man - EVERYBODY (Club Edit).mp3;tags;You Man, Jerge;EVERYBODY (Club Edit);NON;0.0;;;;;;;
2020-07-06\Joy Tyson, Zigan Aldi - Hella feat. Joy Tyson (Original Mix).mp3;tags;Zigan Aldi, Joy Tyson;Hella feat. Joy Tyson (Original Mix);NON;0.0;;;;;;;
2020-07-06\Kasper Bjorke - Heaven (Nicolas Jaar Remix).mp3;tags;Kasper Bjorke;Heaven (Nicolas Jaar Remix);MATCH;96.9;Kasper Bjørke;Heaven (Nicolas Jaar Remix);Electronic;House/Synth-pop;2010;HFN Music;2386637
2020-07-06\Kermesse - El Grito (Original Mix).mp3;tags;Kermesse;El Grito (Original Mix);NON;0.0;;;;;;;
2020-07-06\Kim Hiorthoy - Forskjellige Gode Ting (Original Mix).mp3;tags;Kim Hiorthoy;Forskjellige Gode Ting (Original Mix);MATCH;96.7;Kim Hiorthøy;Forskjellige Gode Ting;Electronic;IDM/Downtempo;2000;Smalltown Supersound;23321
2020-07-06\La Bien Querida, Vitalic - Tu Conmigo (Original Mix).mp3;tags;Vitalic, La Bien Querida;Tu Conmigo (Original Mix);NON;0.0;;;;;;;
2020-07-06\Lost Desert, Sidartha Siliceo, Simon Vuarambon - Firedance featuring Sidartha Siliceo (M.O.S. Remix).mp3;tags;Sidartha Siliceo, Simon Vuarambon, Lost Desert;Firedance featuring Sidartha Siliceo (M.O.S. Remix);NON;0.0;;;;;;;
2020-07-06\M.O.S. - La Sonnette (Extended Mix).mp3;tags;M.O.S.;La Sonnette (Extended Mix);NON;0.0;;;;;;;
2020-07-06\MASCO - Synarchy (Original Mix).mp3;tags;MASCO;Synarchy (Original Mix);NON;0.0;;;;;;;
2020-07-06\Maceo Plex - Gravy Train (Nicolas Jaar Remix).mp3;tags;Maceo Plex;Gravy Train (Nicolas Jaar Remix);NON;0.0;;;;;;;
2020-07-06\Made In TLV, Mano Negra - Sueno De Solentiname (Rampa Version).mp3;tags;Made In TLV, Mano Negra;Sueno De Solentiname (Rampa Version);NON;0.0;;;;;;;
2020-07-06\Marco Tegui - Cordillera (Original Mix).mp3;tags;Marco Tegui;Cordillera (Original Mix);MATCH;100.0;Marco Tegui;Cordillera;Electronic;House/Downtempo;2020;BAR25;24884078
2020-07-06\Mark Alow - White Tusk (Original).mp3;tags;Mark Alow;White Tusk (Original);MATCH;100.0;Mark Alow;White Tusk;Electronic;Deep House/Minimal;2018;Sol Selectas;11734359
2020-07-06\Miyagi - Sadie Adler (Original Mix).mp3;tags;Miyagi;Sadie Adler (Original Mix);NON;0.0;;;;;;;
2020-07-06\Mollono.Bass - The Story Of The Sad Clown (Original Mix).mp3;tags;Mollono.Bass;The Story Of The Sad Clown (Original Mix);MATCH;100.0;Mollono.Bass;The Story Of The Sad Clown;Electronic;Deep House/Tech House;2020;3000°;15539518
2020-07-06\Namito - Stone Flower (Original).mp3;tags;Namito;Stone Flower (Original);MATCH;100.0;Namito;Stone Flower;Electronic;Tech House;2019;Sol Selectas;13689503
2020-07-06\Niko Schwind, Oliver Koletzki - Agitation (Original Mix).mp3;tags;Oliver Koletzki, Niko Schwind;Agitation (Original Mix);NON;0.0;;;;;;;
2020-07-06\Polo & Pan - Pili Pili (Original Mix).mp3;tags;Polo & Pan;Pili Pili (Original Mix);MATCH;100.0;Polo & Pan;Pili Pili;Electronic;Nu-Disco;2020;Ekler'O'ShocK;15918848
2020-07-06\Roisto - Fool (Extended Mix).mp3;tags;Roisto;Fool (Extended Mix);MATCH;100.0;Roisto;Fool (Extended Mix);Electronic;Nu-Disco;2017;It's Great!;15667044
2020-07-06\Sam Shure - Louna (Original Mix).mp3;tags;Sam Shure;Louna (Original Mix);MATCH;100.0;Sam Shure;Louna;Electronic;Deep House/Deep Techno;2019;Stil Vor Talent;14233606
2020-07-06\Talamanca System - Conga Cage (Original Mix).mp3;tags;Talamanca System;Conga Cage (Original Mix);MATCH;100.0;Talamanca System;Conga Cage;Electronic;House/Nu-Disco/Deep House;2017;International Feel Recordings;10316473
2020-07-06\The Sponges - Feelin' Alright (Original Mix).mp3;tags;The Sponges;Feelin' Alright (Original Mix);NON;0.0;;;;;;;
2020-07-06\Weval - The Most (Original Mix).mp3;tags;Weval;The Most (Original Mix);MATCH;100.0;Weval;The Most;Electronic;Synth-pop/Ambient/Minimal;2013;Atomnation;5607972
2020-07-06\Yamil - Hedia (Original Mix).mp3;tags;Yamil;Hedia (Original Mix);NON;0.0;;;;;;;
2020-07-06\You Man - Abandonare (Original Mix).mp3;tags;You Man;Abandonare (Original Mix);NON;0.0;;;;;;;
2020-07-06\You Man - Tranquilo (Original Mix).mp3;tags;You Man;Tranquilo (Original Mix);NON;0.0;;;;;;;
2020-07-06\You Man - Tutti Va Bene (Original Mix).mp3;tags;You Man;Tutti Va Bene (Original Mix);NON;0.0;;;;;;;
2020-07-06\Zuma Dionys - Sunseeker (Original Mix).mp3;tags;Zuma Dionys;Sunseeker (Original Mix);NON;0.0;;;;;;;
2020-07-06\okuma - Shalu (Original Mix).mp3;tags;okuma;Shalu (Original Mix);NON;0.0;;;;;;;
2020-08-25\Air - La femme d'argent (Original Mix).mp3;tags;Air;La femme d'argent (Original Mix);MATCH;100.0;AIR;La Femme D'Argent;Electronic/Pop;Downtempo/Dream Pop/Psychedelic Rock/Synth-pop;1998;Source;41970
2020-08-25\Anita Blay, High Contrast, Kae Tempest - Time Is Hardcore (Original Mix).mp3;tags;High Contrast, Kae Tempest, Anita Blay;Time Is Hardcore (Original Mix);MATCH;100.0;High Contrast;Time Is Hardcore;Electronic;Drum n Bass;2020;3Beat;15901031
2020-08-25\Black Sun Empire, Pythius - Kepler (Original Mix).mp3;tags;Black Sun Empire, Pythius;Kepler (Original Mix);NON;0.0;;;;;;;
2020-08-25\Blaine Stranger - Dragon (Original Mix).mp3;tags;Blaine Stranger;Dragon (Original Mix);MATCH;100.0;Blaine Stranger;Dragon;Electronic;Drum n Bass;2020;Viper Recordings;15764545
2020-08-25\Chase & Status - No Problem (Original Mix).mp3;tags;Chase & Status;No Problem (Original Mix);MATCH;100.0;Chase & Status;No Problem;Electronic;Drum n Bass/Dubstep;2011;RAM Records;2674881
2020-08-25\Chase & Status, General Levy - Heater (Original Mix).mp3;tags;General Levy, Chase & Status;Heater (Original Mix);NON;0.0;;;;;;;
2020-08-25\Chase & Status, Irah - Program (Dean Street Version).mp3;tags;Chase & Status, Irah;Program (Dean Street Version);MATCH;100.0;Chase & Status;Program (Dean Street Version);Electronic/Reggae;Dancehall/Drum n Bass/Jungle;2019;Virgin EMI Records;14124840
2020-08-25\Chase & Status, Irah - Program (Original Mix).mp3;tags;Chase & Status, Irah;Program (Original Mix);NON;0.0;;;;;;;
2020-08-25\Culture Shock - Bunker (Original Mix).mp3;tags;Culture Shock;Bunker (Original Mix);MATCH;100.0;Culture Shock (2);Bunker;Electronic;Drum n Bass;2017;RAM Records;11213368
2020-08-25\DJ Fresh, Shy FX - Gold Dust feat. SHY FX (SHY FX Re-Edit).mp3;tags;DJ Fresh, Shy FX;Gold Dust feat. SHY FX (SHY FX Re-Edit);MATCH;100.0;Fresh;Gold Dust;Electronic;Drum n Bass;2008;Breakbeat Kaos;1397056
2020-08-25\Deekline, Ivory, Killa P, Specimen A - Mosh Pit (Original Mix).mp3;tags;Deekline, Ivory, Specimen A, Killa P;Mosh Pit (Original Mix);NON;0.0;;;;;;;
2020-08-25\Dillinja - Hard Noize (Break Remix).mp3;tags;Dillinja;Hard Noize (Break Remix);MATCH;100.0;Dillinja;Hard Noize (Break Remix);Electronic;Drum n Bass;2020;Valve Recordings;15387608
2020-08-25\Dimension - If You Want To (Original Mix).mp3;tags;Dimension;If You Want To (Original Mix);MATCH;100.0;Dimension (12);If You Want To;Electronic;Drum n Bass;2019;Dimension (15);13994024
2020-08-25\Document One - Holy Moly (Original Mix).mp3;tags;Document One;Holy Moly (Original Mix);MATCH;100.0;Document One;Holy Moly;Electronic;Drum n Bass;2019;Shogun Audio;13902644
2020-08-25\Document One - Run The Block (Original Mix).mp3;tags;Document One;Run The Block (Original Mix);MATCH;100.0;Document One;Run The Block;Electronic;Drum n Bass;2016;Technique Recordings;12989657
2020-08-25\Ed Rush & Optical - Bacteria (Pendulum Remix).mp3;tags;Ed Rush & Optical;Bacteria (Pendulum Remix);MATCH;100.0;Ed Rush & Optical;Bacteria (Pendulum Remix);Electronic;Drum n Bass;2004;Virus Recordings;347167
2020-08-25\Ed Rush & Optical - Chubrub (Original Mix).mp3;tags;Ed Rush & Optical;Chubrub (Original Mix);MATCH;100.0;Ed Rush & Optical;Chubrub;Electronic;Drum n Bass;2009;Virus Recordings;1720859
2020-08-25\Krust - Warhead (Original Mix).mp3;tags;Krust;Warhead (Original Mix);MATCH;100.0;Krust;Warhead;Electronic;Drum n Bass;2007;V-Cycle;1109452
2020-08-25\Metrik - Hackers (Original Mix).mp3;tags;Metrik;Hackers (Original Mix);MATCH;100.0;Metrik (2);Hackers;Electronic;Drum n Bass;2019;Hospital Records;13568252
2020-08-25\Moon Rocket - Intro (Original Mix).mp3;tags;Moon Rocket;Intro (Original Mix);NON;0.0;;;;;;;
2020-08-25\Noisia - Brainstitch (Original Mix).mp3;tags;Noisia;Brainstitch (Original Mix);MATCH;100.0;Noisia;Brainstitch;Electronic;Drum n Bass;2005;Shogun Audio;538080
2020-08-25\Noisia, The Upbeats - Dead Limit (Original Mix).mp3;tags;Noisia, The Upbeats;Dead Limit (Original Mix);MATCH;100.0;Noisia;Dead Limit;Electronic;Drum n Bass;2015;Vision Recordings;7412957
2020-08-25\Pendulum - Blood Sugar (Original Mix).mp3;tags;Pendulum;Blood Sugar (Original Mix);MATCH;100.0;Pendulum (3);Blood Sugar;Electronic;Drum n Bass;2007;Breakbeat Kaos;991203
2020-08-25\Purple Disco Machine - Yo (Original Mix).mp3;tags;Purple Disco Machine;Yo (Original Mix);MATCH;100.0;Purple Disco Machine;Yo;Electronic;Deep House;2015;Kittball Records;11133061
2020-08-25\Replicant - Saigon (Original Mix).mp3;tags;Replicant;Saigon (Original Mix);MATCH;100.0;Replicant (9);Saigon;Electronic;Drum n Bass;2020;Organized Grime;15792975
2020-08-25\Serial Killaz - Start The Killing (Original Mix).mp3;tags;Serial Killaz;Start The Killing (Original Mix);MATCH;100.0;Serial Killaz (2);Start The Killing;Electronic;Drum n Bass;2018;Souped Up Records;11482813
2020-08-25\Serial Killaz - Walk and Skank (Original Mix).mp3;tags;Serial Killaz;Walk and Skank (Original Mix);NON;0.0;;;;;;;
2020-08-25\Simula - Don't Leave Me (Original Mix).mp3;tags;Simula;Don't Leave Me (Original Mix);NON;0.0;;;;;;;
2020-08-25\Smoove - Showtime Intro (Original Mix).mp3;tags;Smoove;Showtime Intro (Original Mix);NON;0.0;;;;;;;
2020-08-25\Sub Focus - Solar System (Original Mix).mp3;tags;Sub Focus;Solar System (Original Mix);MATCH;100.0;Sub Focus;Solar System;Electronic;Drum n Bass;2019;Virgin EMI Records;13923579
2020-08-25\Sub Focus - Timewarp VIP (Original Mix).mp3;tags;Sub Focus;Timewarp VIP (Original Mix);MATCH;100.0;Sub Focus;Timewarp VIP;Electronic;Drum n Bass;2010;RAM Records;2262260
2020-08-25\Sub Focus - X-Ray (Metrik Remix).mp3;tags;Sub Focus;X-Ray (Metrik Remix);MATCH;100.0;Sub Focus;X-Ray (Metrik Remix);Electronic;Drum n Bass;2021;RAM Records;19681660
2020-08-25\The Prototypes - Pale Blue Dot (Original Mix).mp3;tags;The Prototypes;Pale Blue Dot (Original Mix);MATCH;100.0;The Prototypes;Pale Blue Dot;Electronic;Drum n Bass;2014;Viper Recordings;6182229
2021-02-09\David_August_-_Epikur_(Original_Mix).mp3;tags;David August;Epikur (Original Mix);MATCH;100.0;David August;Epikur;Electronic;Deep House;2014;Innervisions;5513158
2021-02-09\Dirty_Doering_-_Casino_Aquatique_(Original_Mix).mp3;tags;Dirty Doering;Casino Aquatique (Original Mix);MATCH;100.0;Dirty Doering;Casino Aquatique;Electronic;Tech House;2011;Katermukke;3551420
2021-02-09\Dusty_Kid_-_Tsunamy_(Original_Mix).mp3;tags;Dusty Kid;Tsunamy (Original Mix);MATCH;100.0;Dusty Kid;Tsunamy;Electronic;Electro/Tech House;2007;Systematic (3);967609
2021-02-09\Eggo_-_Horizon_(Original_Mix).mp3;tags;Eggo;Horizon (Original Mix);MATCH;100.0;Eggo;Horizon;Electronic;Techno/Deep House;2012;Timid Records;3352149
2021-02-09\Else_-_Paris_(Original_Mix).mp3;tags;Else;Paris (Original Mix);NON;0.0;;;;;;;
2021-02-09\Fatnotronic,_Yuksek_-_Bateu_(Original_Mix).mp3;tags;Fatnotronic, Yuksek;Bateu (Original Mix);MATCH;100.0;Yuksek;Bateu;Electronic;House/Downtempo/Electro;2017;Partyfine;11012793
2021-02-09\Gesaffelstein_-_Pursuit_(Original_Mix).mp3;tags;Gesaffelstein;Pursuit (Original Mix);MATCH;100.0;Gesaffelstein;Pursuit;Electronic;Electro;2013;EMI Music France;4664056
2021-02-09\Giorgos_Gatzigristos,_Paul_Hazendonk_-_Adorno_(Original_Mix).mp3;tags;Giorgos Gatzigristos, Paul Hazendonk;Adorno (Original Mix);MATCH;100.0;Paul Hazendonk;Adorno;Electronic;Progressive House/Techno;2014;Manual Music;13626235
2021-02-09\Gui_Boratto_-_Beksy_s_(Original_Mix).mp3;tags;Gui Boratto;Beksy's (Original Mix);MATCH;100.0;Gui Boratto;Beksy’s;Electronic;House/Techno;2020;Kompakt;16066625
2021-02-09\Gui_Boratto_-_Flying_Practice_(Original_Mix).mp3;tags;Gui Boratto;Flying Practice (Original Mix);MATCH;100.0;Gui Boratto;Flying Practice;Electronic;Minimal/Tech House/Ambient;2011;Kompakt;3129650
2021-02-09\HVOB_-_Azrael_(Original_Mix).mp3;tags;HVOB;Azrael (Original Mix);MATCH;100.0;Hvob;Azrael;Electronic;Deep House/Minimal;2015;Stil Vor Talent;6884999
2021-02-09\Henry_Saiz_-_Lucero_Del_Alba_(Kris_Davis_Remix).mp3;tags;Henry Saiz;Lucero Del Alba (Kris Davis Remix);MATCH;100.0;Henry Saiz;Lucero Del Alba (Kris Davis Remix);Electronic;Progressive House/Tech House/Techno;2016;Suara;9448704
2021-02-09\Ian_O_Donovan_-_Forever_Untold_(Satoshi_Fumi_Remix).mp3;tags;Ian O'Donovan;Forever Untold (Satoshi Fumi Remix);MATCH;100.0;Ian O'Donovan;Forever Untold (Satoshi Fumi Remix);Electronic;Progressive House/House/Breaks/Tech House;2012;Perspectives Digital;3471319
2021-02-09\Indieveed_-_Bliss_(Original_Mix).mp3;tags;Indieveed;Bliss (Original Mix);NON;0.0;;;;;;;
2021-02-09\Irene_Dresel_-_Icone_(Original_Mix).mp3;tags;Irene Dresel;Icone (Original Mix);MATCH;100.0;Irene Dresel;Icone;Electronic;Minimal;2019;Room Records (5);13425508
2021-02-09\Irene_Dresel_-_STUPRE_(Original_Mix).mp3;tags;Irene Dresel;STUPRE (Original Mix);MATCH;100.0;Irene Dresel;Stupre;Electronic;Techno;2020;Room Records (5);18994594
2021-02-09\Jacques_-_Tout_est_magnifique_(Original_Mix).mp3;tags;Jacques;Tout est magnifique (Original Mix);MATCH;100.0;Jacques (16);Tout Est Magnifique;Electronic;Techno;2015;Pain Surprises Records;6791083
2021-02-09\Johni,_Legamen_-_Siberian_Expanses_(Original_Mix).mp3;tags;Johni, Legamen;Siberian Expanses (Original Mix);NON;0.0;;;;;;;
2021-02-09\Karol_XVII___MB_Valence_-_The_Gap_(Original_Mix).mp3;tags;Karol XVII & MB Valence;The Gap (Original Mix);MATCH;100.0;Karol XVII & MB Valence;The Gap;Electronic;Deep House/Tech House;2015;Sunset Handjob;6976075
2021-02-09\Logiztik_Sounds_-_Keep_Looking_(Original_Mix).mp3;tags;Logiztik Sounds;Keep Looking (Original Mix);MATCH;100.0;Logiztik Sounds;Keep Looking;Electronic;Techno;2013;Manual Music;12386351
2021-02-09\Mano_Le_Tough_-_Big_Words_From_The_Small_Mouth_(Original_Mix).mp3;tags;Mano Le Tough;Big Words From The Small Mouth (Original Mix);MATCH;100.0;Mano Le Tough;Big Words From The Small Mouth;Electronic;Minimal Techno;2017;Maeve;10279319
2021-02-09\Mr_Oizo_-_Positif_(Original_Mix).mp3;tags;Mr Oizo;Positif (Original Mix);MATCH;100.0;Mr. Oizo;Positif;Electronic;Electro/Experimental/Electro House;2008;Ed Banger Records;1534652
2021-02-09\Onur_Ozman_-_Dadaist_(Night_Talk_Remix).mp3;tags;Onur Ozman;Dadaist (Night Talk Remix);NON;0.0;;;;;;;
2021-02-09\Pan-Pot_-_Fugitives_(Joseph_Capriati_Remix).mp3;tags;Pan-Pot;Fugitives (Joseph Capriati Remix);MATCH;100.0;Pan-Pot;Fugitives (Joseph Capriati Remix);Electronic;Techno/Tech House;2015;Second State;7826487
2021-02-09\Pan-Pot_-_Sleepless_(Stephan_Bodzin_Remix).mp3;tags;Pan-Pot;Sleepless (Stephan Bodzin Remix);MATCH;100.0;Pan-Pot;Sleepless (Stephan Bodzin Remix);Electronic;Techno/Tech House;2015;Second State;7826487
2021-02-09\Patrik_Berg_-_Running_Numbers_(Original_Mix).mp3;tags;Patrik Berg;Running Numbers (Original Mix);MATCH;100.0;Patrik Berg;Running Numbers;Electronic;Techno;2017;Filth On Acid;13785490
2021-02-09\Polo___Pan_-_Kirghiz_(Original_Mix).mp3;tags;Polo & Pan;Kirghiz (Original Mix);MATCH;100.0;Polo & Pan;Kirghiz;Electronic/Pop;Tropical House/Synth-pop;2017;Hamburger Records;10355741
2021-02-09\Polo___Pan_-_Mexicali_(Simple_Symmetry_Remix).mp3;tags;Polo & Pan;Mexicali (Simple Symmetry Remix);MATCH;100.0;Polo & Pan;Mexicali (Simple Symmetry Remix);Electronic;Disco/Electro House/House/Tech House;2018;Ekler'O'ShocK;13104824
2021-02-09\Rodriguez_Jr._-_Lila_(Original_Mix).mp3;tags;Rodriguez Jr.;Lila (Original Mix);MATCH;100.0;Rodriguez Jr.;Lila;Electronic;Electro/Deep House/Tech House;2008;Boxer Recordings;1389922
2021-02-09\Sigward_-_Playa_Mujeres_(Mononoid_Remix).mp3;tags;Sigward;Playa Mujeres (Mononoid Remix);MATCH;100.0;Sigward;Playa Mujeres (Mononoid Remix);Electronic;Tech House;2013;Klopfgeist;22912505
2021-02-09\Stephan_Bodzin_-_Singularity_(Original_Mix).mp3;tags;Stephan Bodzin;Singularity (Original Mix);MATCH;100.0;Stephan Bodzin;Singularity;Electronic;Techno/Tech House;2015;Herzblut Recordings;6906797
2021-02-09\Superpoze_-_Time_Travel_(Original_Mix).mp3;tags;Superpoze;Time Travel (Original Mix);MATCH;100.0;Superpoze;Time Travel;Electronic;IDM/Ambient/Downtempo;2015;Combien Mille Records;6881180
2021-02-09\The_Toxic_Avenger,_Greg_Kozo_-_A1_(Original_Mix).mp3;tags;The Toxic Avenger, Greg Kozo;A1 (Original Mix);NON;0.0;;;;;;;
2021-02-09\The_Toxic_Avenger,_Greg_Kozo_-_B1_(Original_Mix).mp3;tags;The Toxic Avenger, Greg Kozo;B1 (Original Mix);NON;0.0;;;;;;;
2021-02-09\Thylacine_-_Moskva_(Original_Mix).mp3;tags;Thylacine;Moskva (Original Mix);MATCH;100.0;Thylacine (4);Moskva;Electronic;IDM/Ambient/Electro/Deep House;2015;Intuitive Records (2);7780434
2021-02-09\Timmo_-_With_You_(Original_Mix).mp3;tags;Timmo;With You (Original Mix);NON;0.0;;;;;;;
2021-02-09\Township_Rebellion_-_Dolores_(Original_Mix).mp3;tags;Township Rebellion;Dolores (Original Mix);NON;0.0;;;;;;;
2021-02-09\Victor_Deme,_Synapson_-_Djon_maya_maï_(Original_Extended).mp3;tags;Victor Deme, Synapson;Djon maya maï (Original Extended);MATCH;100.0;Synapson;Djon Maya Maï;Electronic;House;2014;Diez Music;5781245
2021-02-09\Wehbba,_DJ_Deeon_-_We_Have_Bass_(Original_Mix).mp3;tags;Wehbba, DJ Deeon;We Have Bass (Original Mix);MATCH;100.0;Wehbba;We Have Bass;Electronic;Techno;2019;Drumcode;13475594
2021-11-01\ARTBAT_-_Flame_(Original_Mix).mp3;tags;ARTBAT;Flame (Original Mix);MATCH;100.0;ARTBAT;Flame;Electronic;Progressive House/Techno;2021;Upperground (3);20016367
2021-11-01\Agoria_-_Europa_(Original_Mix).mp3;tags;Agoria;Europa (Original Mix);MATCH;100.0;Agoria;Europa;Electronic;Techno/Electro/Tech House;2006;Different;803363
2021-11-01\Agoria_-_Les_Violons_Ivres_(Original_Mix).mp3;tags;Agoria;Les Violons Ivres (Original Mix);MATCH;100.0;Agoria;Les Violons Ivres;Electronic;Techno/Electro/Tech House;2006;Different;803363
2021-11-01\Aloka_-_Concave_(Original_Mix).mp3;tags;Aloka;Concave (Original Mix);MATCH;100.0;Aloka;Concave;Electronic;Electro/Techno;2019;Typeless;14738466
2021-11-01\Ben_Böhmer_-_Beyond_Beliefs_(Original_Mix).mp3;tags;Ben Bohmer;Beyond Beliefs (Original Mix);MATCH;100.0;Ben Böhmer;Beyond Beliefs;Electronic;Deep House;2021;Anjunadeep;19604269
2021-11-01\Booka_Shade,_Nicole_Moudaber,_Booka_Shade_&_Nicole_Moudaber_-_Plexus_3AM_(Nicole_Moudaber_Remix).mp3;tags;Booka Shade & Nicole Moudaber, Nicole Moudaber, Booka Shade;Plexus 3AM (Nicole Moudaber Remix);MATCH;100.0;Booka Shade;Plexus 3AM (Nicole Moudaber Remix);Electronic;Tech House/Techno;2020;Blaufield Music;16347504
2021-11-01\Carbon,_Lampe_-_Driving_Mad_(Original_Mix).mp3;tags;Carbon, Lampe;Driving Mad (Original Mix);NON;0.0;;;;;;;
2021-11-01\Chris_Lake,_Riva_Starr_-_Beat_Freak_(feat._lau.ra)_(Extended_Mix).mp3;tags;Chris Lake, Riva Starr;Beat Freak (Extended Mix);NON;0.0;;;;;;;
2021-11-01\Damon_Jee,_Darlyn_Vlys_-_Behind_Us_(Original_Mix).mp3;tags;Damon Jee, Darlyn Vlys;Behind Us (Original Mix);NON;0.0;;;;;;;
2021-11-01\Disfreq_-_All_My_Friends_(Original_Mix).mp3;tags;Disfreq;All My Friends (Original Mix);MATCH;100.0;Disfreq;All My Friends;Electronic;Tech House/Techno;2021;Trick (2);23744723
2021-11-01\Double_Touch_-_Infinite_Nocturne_(Original_Mix).mp3;tags;Double Touch;Infinite Nocturne (Original Mix);NON;0.0;;;;;;;
2021-11-01\Faithless,_Maceo_Plex_-_Insomnia_2021_(Dub_Mix).mp3;tags;Faithless, Maceo Plex;Insomnia 2021 (Dub Mix);MATCH;100.0;Maceo Plex;Insomnia 2021 (Extended);Electronic;Techno/Tech House;2021;Ministry Of Sound Recordings;19129489
2021-11-01\Faithless,_Maceo_Plex_-_Insomnia_2021_(Epic_Mix).mp3;tags;Faithless, Maceo Plex;Insomnia 2021 (Epic Mix);MATCH;100.0;Maceo Plex;Insomnia 2021 (Epic Mix);Electronic;Techno/Tech House;2021;Ministry Of Sound Recordings;19129489
2021-11-01\Gesaffelstein_-_Atmosphere_(Original_Mix).mp3;tags;Gesaffelstein;Atmosphere (Original Mix);MATCH;100.0;Gesaffelstein;Atmosphere;Electronic;Tech House;2010;Turbo;2535544
2021-11-01\Hubbabubbaklubb_-_Mopedbart_(Original_Mix).mp3;tags;Hubbabubbaklubb;Mopedbart (Original Mix);MATCH;100.0;Hubbabubbaklubb;Mopedbart;Electronic/Funk / Soul;Disco;2013;Death Strobe Records;4271100
2021-11-01\KOMPROMAT,_Adele_Haenel_-_De_mon_âme_à_ton_âme_feat._Adele_Haenel_(Original_Mix).mp3;tags;Adele Haenel, KOMPROMAT;De mon âme à ton âme feat. Adele Haenel (Original Mix);MATCH;100.0;Kompromat (2);De Mon Âme A Ton Âme;Electronic/Pop;Electroclash/Synth-pop/EBM;2019;Clivage Music;13442610
2021-11-01\KOMPROMAT_-_Das_Grab_(Original_Mix).mp3;tags;KOMPROMAT;Das Grab (Original Mix);MATCH;100.0;Kompromat (2);Das Grab;Electronic;Techno;2019;Clivage Music;15545646
2021-11-01\Kai_Tracid,_ASYS_-_Wrong_or_Right_(Acid_Rain_over_Berlin_Mix).mp3;tags;Kai Tracid, A*S*Y*S;Wrong or Right (Acid Rain over Berlin Mix);MATCH;88.6;Kai Tracid;Wrong Or Right (Acid Rain Over Berlin Mix);Electronic;Techno/Acid;2021;Fe Chrome;19673764
2021-11-01\Kiko,_Waltervelt_-_Violent_Location_(Original_Mix).mp3;tags;Kiko, Waltervelt;Violent Location (Original Mix);NON;0.0;;;;;;;
2021-11-01\Kino_Todo,_Tesfit_Asgodom_-_Gidafi_Na_feat._Asgodom_(Red_Axes_Edit).mp3;tags;Kino Todo, Tesfit Asgodom;Gidafi Na feat. Asgodom (Red Axes Edit);NON;0.0;;;;;;;
2021-11-01\Made_In_TLV_-_Isla_Blanca_(Original_Mix).mp3;tags;Made In TLV;Isla Blanca (Original Mix);NON;0.0;;;;;;;
